group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
comparison,Mimblewimble Generation,65536,,,87861083.0,ns,229
comparison,Mimblewimble Generation,65536,,,176965000.0,ns,458
comparison,Mimblewimble Generation,65536,,,264529042.0,ns,687
comparison,Mimblewimble Generation,65536,,,349666417.0,ns,916
comparison,Mimblewimble Generation,65536,,,437740625.0,ns,1145
comparison,Mimblewimble Generation,65536,,,523487584.0,ns,1374
comparison,Mimblewimble Generation,65536,,,612346792.0,ns,1603
comparison,Mimblewimble Generation,65536,,,697793500.0,ns,1832
comparison,Mimblewimble Generation,65536,,,785460250.0,ns,2061
comparison,Mimblewimble Generation,65536,,,987729333.0,ns,2290
